x,y,area_px,cell_type
1506,176,,ST
1595,176,,ST
678,180,,ST
925,180,,ST
1057,180,,ST
1145,180,,ST
1330,180,,ST
1418,180,,ST
1506,180,,ST
1595,180,,ST
616,185,,ST
740,185,,ST
956,185,,ST
1088,185,,ST
1273,185,,ST
1361,185,,ST
1449,185,,ST
1537,185,,ST
1625,185,,ST
634,189,,ST
740,189,,ST
956,189,,ST
1088,189,,ST
1277,189,,ST
1365,189,,ST
1454,189,,ST
1542,189,,ST
1630,189,,ST
625,193,,ST
713,193,,ST
934,193,,ST
1066,193,,ST
1273,193,,ST
1361,193,,ST
1449,193,,ST
1537,193,,ST
1625,193,,ST
616,198,,ST
705,198,,ST
925,198,,ST
1057,198,,ST
1145,198,,ST
1365,198,,ST
1454,198,,ST
1542,198,,ST
1630,198,,ST
612,202,,ST
700,202,,ST
920,202,,ST
1053,202,,ST
1141,202,,ST
1361,202,,ST
1449,202,,ST
1537,202,,ST
1625,202,,ST
608,207,,ST
696,207,,ST
916,207,,ST
1004,207,,ST
1123,207,,ST
1348,207,,ST
1436,207,,ST
1524,207,,ST
1612,207,,ST
586,211,,ST
674,211,,ST
762,211,,ST
982,211,,ST
1088,211,,ST
1313,211,,ST
1401,211,,ST
1489,211,,ST
1577,211,,ST
1665,211,,ST
638,215,,ST
727,215,,ST
942,215,,ST
1031,215,,ST
1119,215,,ST
1348,215,,ST
1436,215,,ST
1524,215,,ST
1612,215,,ST
1700,215,,ST
656,220,,ST
744,220,,ST
956,220,,ST
1083,220,,ST
1313,220,,ST
1401,220,,ST
1489,220,,ST
1577,220,,ST
1665,220,,ST
612,224,,ST
700,224,,ST
912,224,,ST
1000,224,,ST
1128,224,,ST
1357,224,,ST
1445,224,,ST
1568,224,,ST
1656,224,,ST
594,229,,ST
682,229,,ST
771,229,,ST
964,229,,ST
1097,229,,ST
1321,229,,ST
1410,229,,ST
1542,229,,ST
1630,229,,ST
1718,229,,ST
656,233,,ST
744,233,,ST
925,233,,ST
1013,233,,ST
1145,233,,ST
1365,233,,ST
1454,233,,ST
1586,233,,ST
1674,233,,ST
603,237,,ST
691,237,,ST
779,237,,ST
938,237,,ST
1026,237,,ST
1317,237,,ST
1405,237,,ST
1568,237,,ST
1656,237,,ST
586,242,,ST
674,242,,ST
762,242,,ST
850,242,,ST
969,242,,ST
1101,242,,ST
1357,242,,ST
1528,242,,ST
1617,242,,ST
1705,242,,ST
625,246,,ST
713,246,,ST
801,246,,ST
894,246,,ST
982,246,,ST
1114,246,,ST
1396,246,,ST
1568,246,,ST
1656,246,,ST
581,251,,ST
669,251,,ST
757,251,,ST
846,251,,ST
934,251,,ST
1022,251,,ST
1339,251,,ST
1467,251,,ST
1599,251,,ST
1687,251,,ST
603,255,,ST
691,255,,ST
779,255,,ST
868,255,,ST
956,255,,ST
1044,255,,ST
1348,255,,ST
1524,255,,ST
1612,255,,ST
1700,255,,ST
603,259,,ST
691,259,,ST
779,259,,ST
868,259,,ST
956,259,,ST
1044,259,,ST
1365,259,,ST
1533,259,,ST
1621,259,,ST
1709,259,,ST
603,264,,ST
691,264,,ST
779,264,,ST
868,264,,ST
956,264,,ST
1044,264,,ST
1374,264,,ST
1524,264,,ST
1612,264,,ST
1700,264,,ST
590,268,,ST
678,268,,ST
766,268,,ST
854,268,,ST
942,268,,ST
1031,268,,ST
1396,268,,ST
1528,268,,ST
1647,268,,ST
533,273,,ST
621,273,,ST
709,273,,ST
797,273,,ST
885,273,,ST
973,273,,ST
1110,273,,ST
1480,273,,ST
1568,273,,ST
1705,273,,ST
577,277,,ST
665,277,,ST
753,277,,ST
841,277,,ST
929,277,,ST
1017,277,,ST
1396,277,,ST
1524,277,,ST
1661,277,,ST
511,282,,ST
599,282,,ST
687,282,,ST
775,282,,ST
863,282,,ST
951,282,,ST
1039,282,,ST
1418,282,,ST
1546,282,,ST
1683,282,,ST
511,286,,ST
599,286,,ST
687,286,,ST
775,286,,ST
863,286,,ST
951,286,,ST
1039,286,,ST
1414,286,,ST
1537,286,,ST
1674,286,,ST
1762,286,,ST
572,290,,ST
660,290,,ST
749,290,,ST
837,290,,ST
925,290,,ST
1013,290,,ST
1396,290,,ST
1506,290,,ST
1595,290,,ST
1731,290,,ST
537,295,,ST
625,295,,ST
713,295,,ST
801,295,,ST
890,295,,ST
978,295,,ST
1066,295,,ST
1440,295,,ST
1533,295,,ST
1665,295,,ST
1753,295,,ST
559,299,,ST
647,299,,ST
735,299,,ST
863,299,,ST
951,299,,ST
1357,299,,ST
1445,299,,ST
1533,299,,ST
1661,299,,ST
1749,299,,ST
546,304,,ST
634,304,,ST
722,304,,ST
859,304,,ST
947,304,,ST
1083,304,,ST
1432,304,,ST
1520,304,,ST
1608,304,,ST
1731,304,,ST
524,308,,ST
612,308,,ST
700,308,,ST
837,308,,ST
925,308,,ST
1013,308,,ST
1396,308,,ST
1484,308,,ST
1573,308,,ST
1683,308,,ST
471,312,,ST
559,312,,ST
647,312,,ST
735,312,,ST
872,312,,ST
960,312,,ST
1335,312,,ST
1423,312,,ST
1511,312,,ST
1599,312,,ST
1696,312,,ST
475,317,,ST
564,317,,ST
652,317,,ST
740,317,,ST
876,317,,ST
964,317,,ST
1335,317,,ST
1423,317,,ST
1511,317,,ST
1599,317,,ST
1687,317,,ST
471,321,,ST
559,321,,ST
647,321,,ST
735,321,,ST
872,321,,ST
960,321,,ST
1330,321,,ST
1418,321,,ST
1506,321,,ST
1595,321,,ST
1683,321,,ST
462,326,,ST
550,326,,ST
638,326,,ST
727,326,,ST
859,326,,ST
947,326,,ST
1313,326,,ST
1401,326,,ST
1489,326,,ST
1577,326,,ST
1665,326,,ST
445,330,,ST
533,330,,ST
621,330,,ST
709,330,,ST
837,330,,ST
925,330,,ST
1013,330,,ST
1365,330,,ST
1454,330,,ST
1542,330,,ST
1630,330,,ST
1718,330,,ST
497,334,,ST
586,334,,ST
674,334,,ST
788,334,,ST
876,334,,ST
964,334,,ST
1075,334,,ST
1392,334,,ST
1480,334,,ST
1568,334,,ST
1656,334,,ST
1744,334,,ST
524,339,,ST
612,339,,ST
700,339,,ST
801,339,,ST
890,339,,ST
978,339,,ST
1066,339,,ST
1383,339,,ST
1471,339,,ST
1559,339,,ST
1647,339,,ST
1736,339,,ST
